"Index","Quantity","Part Number","Manufacturer Part Number","Description","Unit of Measure","Customer Reference","Available","Backorder","Unit Price","Extended Price CAD"
"1","12","490-10748-1-ND","GRM21BR61E106MA73L","CAP CER 10UF 25V X5R 0805","","","12","0","0.13900","$1.67"
"2","10","399-17878-1-ND","C0603C102K4RECAUTO","CAP CER 0603 1NF 16V X7R 10%","","","10","0","0.13800","$1.38"
"3","50","490-4779-1-ND","GCM188R71H104KA57D","CAP CER 0.1UF 50V X7R 0603","","","50","0","0.11900","$5.95"
"4","2","478-3877-1-ND","TAJB107M006RNJ","CAP TANT 100UF 20% 6.3V 1411","","","2","0","1.04000","$2.08"
"5","16","490-10673-1-ND","GCM188R71E105KA64D","CAP CER 1UF 25V X7R 0603","","","16","0","0.16000","$2.56"
"6","10","1276-2149-1-ND","CL10C100CB81PNC","CAP CER 10PF 50V C0G/NP0 0603","","","10","0","0.06000","$0.60"
"7","10","490-GCM1885C2A3R3CA16DCT-ND","GCM1885C2A3R3CA16D","CAP CER 3.3PF 100V C0G/NP0 0603","","","10","0","0.09100","$0.91"
"8","3","1276-1879-1-ND","CL10A225KA8NNNC","CAP CER 2.2UF 25V X5R 0603","","","0","3","0.28000","$0.84"
"9","1","754-1159-1-ND","APTD3216SURCK","LED RED CLEAR 2SMD","","","1","0","0.45000","$0.45"
"10","1","CP-43514SJCT-ND","SJ-43514-SMT-TR","CONN JACK 4COND 3.5MM SMD R/A","","","1","0","2.23000","$2.23"
"11","1","609-10171746-00021LFCT-ND","10171746-00021LF","USB C RECEPTACLE R/A SMT 16P G/F","","","1","0","1.16000","$1.16"
"12","1","612-FTSH-107-01-F-DV-K-ND","FTSH-107-01-F-DV-K","CONN HEADER SMD 14POS 1.27MM","","","1","0","4.97000","$4.97"
"13","1","732-3899-1-ND","74408941078","FIXED IND 7.8UH 1.05A 230 MOHM","","","1","0","3.48000","$3.48"
"14","1","785-1001-1-ND","AO3401A","MOSFET P-CH 30V 4A SOT23-3L","","","1","0","0.81000","$0.81"
"15","1","2N7002-FDICT-ND","2N7002-7-F","MOSFET N-CH 60V 115MA SOT23-3","","","0","1","0.31000","$0.31"
"16","25","541-2980-1-ND","CRCW060310K0FKTA","RES SMD 10K OHM 1% 1/10W 0603","","","25","0","0.09480","$2.37"
"17","25","541-1.00KHCT-ND","CRCW06031K00FKEA","RES SMD 1K OHM 1% 1/8W 0603","","","25","0","0.03760","$0.94"
"18","2","P0.02BVCT-ND","ERJ-8CWFR020V","RES 0.02 OHM 1% 1W 1206","","","2","0","0.70000","$1.40"
"19","2","311-30.1KHRCT-ND","RC0603FR-0730K1L","RES 30.1K OHM 1% 1/10W 0603","","R30","2","0","0.16000","$0.32"
"20","2","P5.23KHCT-ND","ERJ-3EKF5231V","RES SMD 5.23K OHM 1% 1/10W 0603","","R24","2","0","0.16000","$0.32"
"21","2","P5.23KHCT-ND","ERJ-3EKF5231V","RES SMD 5.23K OHM 1% 1/10W 0603","","R24","2","0","0.16000","$0.32"
"22","1","4316-103AT-2-ND","103AT-2","NTC THERMISTOR 10KOHM 1%","","","1","0","1.00000","$1.00"
"23","1","541-10.0UCT-ND","CRCW120610R0FKEAHP","RES SMD 10 OHM 1% 3/4W 1206","","","1","0","0.34000","$0.34"
"24","25","541-3004-1-ND","CRCW06034K70FKTA","RES SMD 4.7K OHM 1% 1/10W 0603","","","25","0","0.09200","$2.30"
"25","25","541-CRCW06032K20FKTACT-ND","CRCW06032K20FKTA","RES SMD 2.2K OHM 1% 1/10W 0603","","","25","0","0.09200","$2.30"
"26","25","541-CRCW06032K20FKTACT-ND","CRCW06032K20FKTA","RES SMD 2.2K OHM 1% 1/10W 0603","","","25","0","0.09200","$2.30"
"27","1","448-CYPD3177-24LQXQTCT-ND","CYPD3177-24LQXQT","IC USB TYPE-C PORT CONTROL 24QFN","","","1","0","3.23000","$3.23"
"28","1","296-28314-1-ND","BQ24133RGYT","IC BATT CHG LI-ION 1-3CEL 24VQFN","","","1","0","7.50000","$7.50"
"29","3","296-21113-1-ND","TLV1117-33IDCYR","IC REG LIN 3.3V 800MA SOT-223-4","","","3","0","0.72000","$2.16"
"30","1","296-22847-1-ND","TLV320AIC3104IRHBT","IC CODEC STER AUDIO 6I/O 32-QFN","","","1","0","9.25000","$9.25"
"31","3","296-51488-1-ND","OPA1678IDRGR","IC AUDIO 2 CIRCUIT 8SON","","","3","0","1.39000","$4.17"
"32","1","497-17432-1-ND","STM32F405RGT6TR","IC MCU 32BIT 1MB FLASH 64LQFP","","","1","0","19.53000","$19.53"
"33","1","DMP3098LSD-13DICT-ND","DMP3098LSD-13","MOSFET 2P-CH 30V 4.4A 8SO","","","1","0","1.95000","$1.95"
"34","2","50-ECS-250-10-37BQ-CTN-CT-ND","ECS-250-10-37BQ-CTN-TR","CRYSTAL 25.0000MHZ 10PF SMD","","","2","0","0.66000","$1.32"
"35","2","XC2161CT-ND","ECS-.327-7-34QCS-TR","CRYSTAL 32.7680KHZ 7PF SMD","","","2","0","1.52000","$3.04"
"36","10","5923-0679L7000-05CT-ND","0679L7000-05","FUSE BRD MNT 7A 125VAC/VDC 2SMD","","","10","0","0.54500","$5.45"

